gameId,username,review_score,comment
000,testReview1,3,Not very good
000,testReview2,7,
000,testReview3,8,Amazing
000,testReview4,6,Average
000,testReview5,5,Could be better
000,testReview6,9,Loved it
000,testReview7,4,Disappointing
000,testReview8,7,Good game
000,testReview9,6,Not bad
000,testReview10,8,Great experience
000,testReview11,7,Enjoyed it
000,testReview12,9,Fantastic
000,testReview13,4,Not my type
000,testReview14,6,It was okay
000,testReview15,8,Very enjoyable
001,testReview1,6,It was okay
001,testReview2,8,Really good
001,testReview3,9,Loved it
001,testReview4,7,Pretty good
001,testReview5,5,Could be better
001,testReview6,4,Not my type
001,testReview7,3,Disappointing
001,testReview8,6,Average
001,testReview9,7,Enjoyed it
001,testReview10,8,Great experience
001,testReview11,9,Fantastic
001,testReview12,4,Not bad
001,testReview13,7,Good game
001,testReview14,6,Could use improvement
001,testReview15,8,Very enjoyable
002,testReview1,5,Could be better
002,testReview2,6,Average
002,testReview3,7,Enjoyed it
002,testReview4,8,Great experience
002,testReview5,9,Fantastic
002,testReview6,4,Not my type
002,testReview7,6,It was okay
002,testReview8,8,Really good
002,testReview9,7,Good game
002,testReview10,5,Could use improvement
002,testReview11,6,Not bad
002,testReview12,7,Pretty good
002,testReview13,9,Loved it
002,testReview14,4,Disappointing
002,testReview15,8,Very enjoyable
